Question No,Question,Option A,Option B,Option C,Option D,Correct Answer
1034,In which traversal of a binary tree are nodes visited in left-root-right order?,Preorder,Inorder,Postorder,Level order,Inorder
1035,"Complete the pattern: AB, CD, EF, GH, ?",IJ,HI,JK,IK,IJ
1036,Which algorithm is used for line drawing in computer graphics?,Dijkstra's,Bresenham's,Floyd's,Warshall's,Bresenham's
1037,"If log₂ 16 = x, then x equals:",2,3,4,5,4
1038,Which of the following is a real-time operating system?,Windows,Linux,QNX,macOS,QNX
1039,Choose the correct passive voice of 'They are building a house':,A house is being built by them,A house was being built by them,A house has been built by them,A house will be built by them,A house is being built by them
1040,Which of the following is an interpreted language?,C,C++,Java,Python,Python
1041,A car travels 360 km in 4 hours. What is its average speed?,80 km/hr,85 km/hr,90 km/hr,95 km/hr,90 km/hr
1042,Which sorting algorithm has the best average-case time complexity?,Quick Sort,Merge Sort,Heap Sort,Bubble Sort,Merge Sort
1043,"If all birds can fly and penguin is a bird, what can we conclude?",Penguins can fly,The statement is contradictory,Penguins cannot fly,Nothing can be concluded,The statement is contradictory
1044,Which protocol is used for secure web browsing?,HTTP,HTTPS,FTP,SMTP,HTTPS
1045,"Find the next term in the sequence: 1, 4, 9, 16, 25, ?",30,36,49,64,36
1046,Which normal form eliminates partial dependency?,1NF,2NF,3NF,BCNF,2NF
1047,Choose the meaning of the idiom 'A piece of cake':,Something expensive,Something easy,Something sweet,Something heavy,Something easy
1048,What is inheritance in OOP?,Creating new objects,Acquiring properties of parent class,Hiding data,Method overloading,Acquiring properties of parent class
1049,"If the cost price is Rs. 100 and profit is 20%, find the selling price.",Rs. 120,Rs. 125,Rs. 115,Rs. 110,Rs. 120
1050,Which data structure is used for BFS traversal?,Stack,Queue,Array,Tree,Queue
1051,"Find the missing number: 2, 6, 12, 20, 30, ?",40,42,45,48,42
1052,What is the main purpose of virtual memory?,Increase CPU speed,Provide more storage space,Allow programs larger than physical memory,Improve graphics,Allow programs larger than physical memory
1053,The area of a circle with radius 7 cm is:,154 sq cm,144 sq cm,140 sq cm,150 sq cm,154 sq cm
1054,What does CPU stand for?,Central Processing Unit,Computer Processing Unit,Central Program Unit,Computer Program Unit,Central Processing Unit
1055,Choose the superlative form of 'bad':,Worse,Worst,Badly,More bad,Worst
1056,Which operator is used for modulus operation in most programming languages?,/,%,*,//,%
1057,"If 25% of a number is 80, find the number.",300,320,350,400,320
1058,Which algorithm is used to find the shortest path between all pairs of vertices?,Dijkstra's,Bellman-Ford,Floyd-Warshall,Prim's,Floyd-Warshall
1059,"If ROSE is coded as 6821, how is POSE coded?",1682,1621,7821,1281,1821
1060,Which of the following is a NoSQL database?,MySQL,PostgreSQL,MongoDB,Oracle,MongoDB
1061,Simple interest on Rs. 2000 for 3 years at 5% per annum is:,Rs. 250,Rs. 300,Rs. 350,Rs. 400,Rs. 300
1062,Which device works at the data link layer?,Router,Switch,Hub,Repeater,Switch
1063,Choose the correct article: ___ elephant is a large animal.,A,An,The,No article,An
1064,What is polymorphism?,One class inheriting another,"One interface, multiple implementations",Hiding data members,Creating objects,"One interface, multiple implementations"
1065,The sum of angles in a triangle is:,90°,180°,270°,360°,180°
1066,What is the space complexity of merge sort?,O(1),O(log n),O(n),O(n²),O(n)
1067,"Complete the series: A1, C3, E5, G7, ?",I9,H8,I8,J9,I9
1068,Which of the following is not a process state?,Ready,Running,Blocked,Compiled,Compiled
1069,"If x² = 64, find the value of x.",6,7,8,9,8
1070,Which testing is performed by the end users?,Unit Testing,Integration Testing,System Testing,Acceptance Testing,Acceptance Testing
1071,Choose the antonym of 'Optimistic':,Hopeful,Positive,Pessimistic,Confident,Pessimistic
1072,Which of the following is not a loop in C++?,for,while,do-while,repeat,repeat
1073,The HCF of 24 and 36 is:,6,8,12,18,12
1074,Which data structure is used in DFS traversal?,Queue,Stack,Array,Heap,Stack
1075,"If today is Wednesday, what day will it be after 100 days?",Monday,Tuesday,Wednesday,Friday,Friday
1076,What is the port number for SMTP?,21,23,25,80,25
1077,"Find the median of: 5, 3, 8, 1, 9, 2, 7",5,6,7,8,5
1078,Which command is used to modify existing data in a table?,INSERT,SELECT,UPDATE,ALTER,UPDATE
1079,Choose the correct form: Neither of the boys ___ present.,is,are,was,were,is
1080,What is encapsulation in OOP?,Hiding implementation details,Creating multiple objects,Inheriting properties,Overloading methods,Hiding implementation details
1081,A number increased by 15% becomes 230. Find the original number.,180,190,200,210,200
1082,Which operation is not efficiently supported by an array?,Access by index,Insertion at beginning,Searching,Sorting,Insertion at beginning
1083,"Find the next in sequence: 1, 1, 2, 3, 5, 8, ?",11,12,13,15,13
1084,What is thrashing in operating systems?,CPU overloading,Memory fragmentation,Excessive paging,Disk failure,Excessive paging
1085,"The LCM of 12, 15, and 20 is:",60,120,180,240,60
1086,What is cache memory?,Primary memory,Secondary memory,High-speed temporary memory,Virtual memory,High-speed temporary memory
1087,Choose the synonym of 'Transparent':,Opaque,Clear,Dark,Solid,Clear
1088,Which of the following is a characteristic of Java?,Platform dependent,Compiled language,Platform independent,Assembly language,Platform independent
1089,"If sin θ = 4/5, then cos θ equals:",3/5,5/4,4/3,5/3,3/5
1090,Which algorithm is used for finding minimum spanning tree?,Dijkstra's,Bellman-Ford,Kruskal's,Floyd-Warshall,Kruskal's
1091,"If TEACHER is written as CAHERET, how is STUDENT written?",TNEDUTS,NSTEUDT,NSTUDDE,TSUDENT,TNEDUTS
1092,What does ACID stand for in database transactions?,"Atomicity, Consistency, Isolation, Durability","Accuracy, Control, Integration, Data","Automated, Consistent, Individual, Database",None of the above,"Atomicity, Consistency, Isolation, Durability"
1093,A mixture contains 20% alcohol. How much pure alcohol should be added to 50 liters of this mixture to make it 25% alcohol?,2.5 liters,3.33 liters,5 liters,10 liters,3.33 liters
1094,Which topology has the highest reliability?,Bus,Star,Ring,Mesh,Mesh
1095,Choose the correct preposition: She is afraid ___ spiders.,of,from,with,by,of
1096,What is the size of int data type in most systems?,2 bytes,4 bytes,8 bytes,16 bytes,4 bytes
1097,The diagonal of a square with side 10 cm is:,10√2 cm,10 cm,20 cm,5√2 cm,10√2 cm
1098,What is the height of a complete binary tree with 15 nodes?,3,4,5,6,4
1099,"Complete the pattern: 2, 8, 18, 32, ?",48,50,52,54,50
1100,Which memory allocation technique suffers from external fragmentation?,Paging,Segmentation,Both,Neither,Segmentation
1101,A boat travels 30 km downstream in 2 hours and 18 km upstream in 3 hours. Find the speed of the boat in still water.,10 km/hr,12 km/hr,15 km/hr,18 km/hr,12 km/hr
1102,Which model is best suited for projects with changing requirements?,Waterfall,V-Model,Agile,Big Bang,Agile
1103,Choose the correct conjunction: He studied hard ___ failed the exam.,and,but,or,so,but
1104,Which of the following is not a valid identifier in Java?,_name,$value,2variable,var_name,2variable
1105,Find the compound interest on Rs. 4000 for 18 months at 10% per annum compounded semi-annually.,Rs. 620.25,Rs. 630.25,Rs. 640.25,Rs. 650.25,Rs. 630.25
1106,Which sorting algorithm is most efficient for small datasets?,Quick Sort,Merge Sort,Insertion Sort,Heap Sort,Insertion Sort
1107,"In a certain code, COMPUTER is written as RFUVQNPC. How is SCIENCE written?",VDJFMDF,FPDJDMF,VFDJMDF,FPJFMDF,VDJFMDF
1108,Which of the following is not a database constraint?,PRIMARY KEY,FOREIGN KEY,UNIQUE,RECURSIVE,RECURSIVE
1109,"The average age of 30 students is 20 years. If the teacher's age is included, the average becomes 21 years. Find the teacher's age.",50 years,51 years,52 years,53 years,51 years
1110,Which protocol is used for domain name resolution?,HTTP,FTP,DNS,SMTP,DNS
1111,Choose the correct passive voice: 'Someone stole my bike.',My bike was stolen,My bike is stolen,My bike has been stolen,My bike will be stolen,My bike was stolen
1112,What is the default access modifier for class members in Java?,public,private,protected,package-private,package-private
1113,"A person can do a piece of work in 20 days. After working for 5 days, he falls sick. In how many days can the remaining work be completed by another person who is twice as efficient?",7.5 days,8 days,10 days,15 days,7.5 days
1114,Which data structure allows insertion and deletion only at one end?,Queue,Stack,Deque,Array,Stack
1115,"Find the missing term: AZ, BY, CX, DW, ?",EV,FV,EW,FU,EV
1116,What is the main advantage of multithreading?,Reduced memory usage,Better resource utilization,Faster execution,All of the above,All of the above
1117,"If 3^x = 81, find the value of x.",3,4,5,6,4
1118,What is the purpose of the program counter?,Count programs,Store next instruction address,Count CPU cycles,Store data,Store next instruction address
1119,Choose the meaning of 'Beat around the bush':,To be direct,To avoid the topic,To be violent,To be confused,To avoid the topic
1120,Which of the following is not a fundamental principle of OOP?,Encapsulation,Inheritance,Polymorphism,Compilation,Compilation
1121,The profit percentage when cost price is Rs. 50 and selling price is Rs. 65 is:,25%,30%,35%,40%,30%
1122,Which graph algorithm is used for detecting cycles?,BFS,DFS,Dijkstra's,Prim's,DFS
1123,"If P is the father of Q and Q is the father of R, then P is R's:",Father,Grandfather,Uncle,Brother,Grandfather
1124,Which SQL function is used to count the number of rows?,SUM(),COUNT(),AVG(),MAX(),COUNT()
1125,The sum of first 10 even numbers is:,100,110,120,130,110
1126,Which layer handles error detection and correction?,Physical,Data Link,Network,Transport,Data Link
1127,Choose the antonym of 'Generous':,Kind,Giving,Stingy,Noble,Stingy
1128,What does 'static' keyword mean in Java?,Variable cannot change,"Belongs to class, not instance",Cannot be inherited,Private access,"Belongs to class, not instance"
1129,A rectangle has length 12 cm and breadth 8 cm. Find its perimeter.,40 cm,48 cm,96 cm,20 cm,40 cm
1130,What is the maximum number of children a node can have in a B-tree of order m?,m,m-1,m+1,2m,m
1131,"Complete the series: 5, 11, 23, 47, ?",95,94,96,97,95
1132,Which scheduling algorithm is also known as shortest remaining time first?,SJF,SRTF,FCFS,RR,SRTF
1133,"If 40% of a number is 120, what is 60% of that number?",180,200,240,280,180
1134,Which phase comes after coding in SDLC?,Design,Testing,Analysis,Maintenance,Testing
1135,Choose the correct form: Each of the students ___ responsible.,is,are,were,have,is
1136,Which of the following is a dynamically typed language?,C,Java,Python,C++,Python
1137,The volume of a cube with side 5 cm is:,125 cu cm,100 cu cm,75 cu cm,25 cu cm,125 cu cm
1138,Which algorithm is used for topological sorting?,BFS,DFS,Dijkstra's,Both BFS and DFS,Both BFS and DFS
1139,"If WATER is coded as 12345, how is LATER coded?",51234,91234,81234,71234,91234
1140,Which of the following is a DDL command?,SELECT,INSERT,CREATE,UPDATE,CREATE
1141,"A man walks 3 km east, then 4 km north. What is his distance from the starting point?",5 km,7 km,3.5 km,4.5 km,5 km
1142,What is the maximum transmission unit (MTU) for Ethernet?,1024 bytes,1500 bytes,2048 bytes,512 bytes,1500 bytes
1143,Choose the synonym of 'Arduous':,Easy,Difficult,Simple,Pleasant,Difficult
1144,What is method overloading?,"Same method name, different parameters","Different method name, same parameters",Inheriting methods,Hiding methods,"Same method name, different parameters"
1145,The ratio of 25 minutes to 1 hour is:,1:4,5:12,25:60,Both B and C,Both B and C
1146,Which traversal of a binary tree uses a stack?,Level order,All recursive traversals,Only inorder,Only preorder,All recursive traversals
1147,"Find the odd one out: Mercury, Venus, Earth, Jupiter",Mercury,Venus,Earth,Jupiter,Earth
1148,What is a zombie process?,A crashed process,A completed process waiting for parent,A suspended process,A system process,A completed process waiting for parent
1149,"If tan θ = 3/4, find sin θ.",3/5,4/5,5/3,5/4,3/5
1150,What is pipelining in CPU?,Parallel execution of instructions,Sequential execution,Memory management,I/O handling,Parallel execution of instructions
1151,Choose the correct preposition: The book is ___ the table.,in,on,at,by,on
1152,Which of the following is not a control structure?,if-else,for loop,while loop,function,function
1153,A sum of money doubles in 10 years at simple interest. In how many years will it triple?,15 years,20 years,25 years,30 years,20 years
1154,Which of the following is a stable sorting algorithm?,Quick Sort,Heap Sort,Bubble Sort,Selection Sort,Bubble Sort
1155,Complete the analogy: Book : Pages :: Tree : ?,Branches,Leaves,Roots,Bark,Leaves
1156,What is a primary key?,Can have null values,Can have duplicate values,Uniquely identifies a row,Can be changed frequently,Uniquely identifies a row
1157,The difference between compound interest and simple interest on Rs. 8000 for 2 years at 5% per annum is:,Rs. 18,Rs. 20,Rs. 22,Rs. 25,Rs. 20
1158,Which protocol is connectionless?,TCP,UDP,HTTP,FTP,UDP
1159,Choose the correct spelling:,Recieve,Receive,Receeve,Receve,Receive
1160,What is the difference between '==' and 'equals()' in Java?,No difference,"== compares references, equals() compares values","== compares values, equals() compares references",Both compare references,"== compares references, equals() compares values"
1161,"Find the nth term of arithmetic progression: 5, 8, 11, 14, ...",3n + 2,3n + 5,2n + 3,n + 4,3n + 2
1162,What is the disadvantage of using arrays?,Random access,Fixed size,Memory efficiency,Fast operations,Fixed size
1163,"If A > B, B > C, and C > D, then:",A > D,D > A,A = D,Cannot determine,A > D
1164,What is the purpose of a system call?,Execute user programs,Interface between user and kernel,Manage memory,Handle interrupts,Interface between user and kernel
1165,The circumference of a circle with diameter 14 cm is:,44 cm,88 cm,22 cm,28 cm,44 cm
1166,What is the main goal of software testing?,Prove software is correct,Find defects,Improve performance,Reduce cost,Find defects
1167,Choose the antonym of 'Expand':,Grow,Contract,Increase,Enlarge,Contract
1168,Which collection in Java maintains insertion order?,HashSet,TreeSet,LinkedHashSet,All of the above,LinkedHashSet
1169,A train 150m long crosses a 300m bridge in 18 seconds. Find the speed of the train.,90 km/hr,75 km/hr,60 km/hr,45 km/hr,90 km/hr
1170,Which algorithm has exponential time complexity?,Linear Search,Binary Search,Fibonacci (naive recursive),Merge Sort,Fibonacci (naive recursive)
1171,"Find the next letter in the series: B, D, G, K, P, ?",V,U,W,T,V
1172,Which of the following is not a type of database model?,Hierarchical,Network,Relational,Sequential,Sequential
1173,"If 3x - 2y = 7 and x + 2y = 5, find x.",2,3,4,5,3
1174,What is the function of a router?,Connect devices in same network,Forward packets between networks,Amplify signals,Filter data,Forward packets between networks
1175,Choose the correct form: One of the boys ___ absent.,is,are,were,have,is
1176,What is garbage collection?,Manual memory management,Automatic memory management,Code optimization,Error handling,Automatic memory management
1177,The square root of 169 is:,11,12,13,14,13
1178,Which property must a binary search tree satisfy?,Complete tree,Left child < Parent < Right child,All leaves at same level,Maximum 2 nodes,Left child < Parent < Right child
1179,"If CHAIR is coded as 12345, how is REACH coded?",41312,41231,42315,42135,41231
1180,What is the main advantage of virtual memory?,Faster execution,Run programs larger than physical memory,Better security,Reduced power consumption,Run programs larger than physical memory
1181,A person buys 12 apples for Rs. 60 and sells them at Rs. 6 each. Find profit percentage.,20%,25%,30%,40%,20%
1182,What is the function of memory management unit (MMU)?,Execute instructions,Translate virtual to physical addresses,Store data,Control I/O,Translate virtual to physical addresses
1183,Choose the meaning of 'Burning the midnight oil':,Wasting fuel,Working late,Cooking at night,Being angry,Working late
1184,Which of the following is not a feature of Java?,Object-oriented,Platform independent,Pointers,Automatic memory management,Pointers
1185,The average of 5 consecutive odd numbers is 21. Find the largest number.,23,25,27,29,25
1186,Which data structure is used in Huffman coding?,Stack,Queue,Priority Queue,Array,Priority Queue
1187,"Complete the series: 1, 8, 27, 64, ?",125,120,100,81,125
1188,What is denormalization?,Converting to higher normal form,Converting to lower normal form,Removing all constraints,Adding more tables,Converting to lower normal form
1189,"If 20% of A = 30% of B, then A:B equals:",2:3,3:2,20:30,30:20,3:2
1190,Which addressing scheme uses 32 bits?,IPv4,IPv6,MAC,All of the above,IPv4
1191,Choose the synonym of 'Pragmatic':,Theoretical,Practical,Idealistic,Abstract,Practical
1192,What is the scope of a local variable?,Entire program,Entire class,Entire method,Entire package,Entire method
1193,"A clock gains 5 minutes every hour. If it shows 3:00 PM when the correct time is 2:30 PM, what will it show when the correct time is 6:30 PM?",7:20 PM,7:30 PM,7:40 PM,8:00 PM,7:20 PM
1194,What is the time complexity of finding an element in a hash table (average case)?,O(1),O(log n),O(n),O(n²),O(1)
1195,"If all cats are animals and some animals are pets, then:",All cats are pets,Some cats are pets,No cats are pets,Cannot be determined,Cannot be determined
1196,What is context switching?,Switching between processes,Switching between threads,Switching between users,All of the above,All of the above
1197,The sum of interior angles of a hexagon is:,540°,720°,900°,1080°,720°
1198,What is white box testing?,Testing without code knowledge,Testing with code knowledge,Testing user interface,Testing performance,Testing with code knowledge
1199,Choose the correct form: Neither he nor I ___ present.,is,am,are,was,am
1200,What is the difference between abstract class and interface in Java?,No difference,Abstract class can have concrete methods,Interface can have concrete methods,Both are same,Abstract class can have concrete methods
